Date,Name,Text,compound,negative,neutral,positive
Wed Jun 13 11:41:34 +0000 2018,BBC Breaking News,RT @BBCPolitics: The SNP's Ian Blackford is sent out of the Commons after calling for the House to sit in private - and is followed by the…,0.0,0.0,1.0,0.0
Wed Jun 13 10:56:48 +0000 2018,BBC Breaking News,"RT @BBCSport: A joint bid from the United States, Canada and Mexico has won the right to host the 2026 Fifa World Cup, beating a bid from M…",0.5423,0.092,0.708,0.2
Wed Jun 13 10:07:30 +0000 2018,BBC Breaking News,"RT @BBCSport: The Spanish Football Federation have confirmed they have sacked Julen Lopetegui as manager, just over 24 hours before the Wor…",0.0,0.0,1.0,0.0
Tue Jun 12 17:00:49 +0000 2018,BBC Breaking News,Greece's northern neighbour to be called North Macedonia after 27 years of wrangling between the two countries https://t.co/QjARCqGsM5,0.0,0.0,1.0,0.0
Tue Jun 12 16:47:49 +0000 2018,BBC Breaking News,MPs vote by 324 to 298 against a bid to give Parliament the decisive say on the UK Brexit deal https://t.co/C872nN0pyy,0.2263,0.0,0.909,0.091
Tue Jun 12 11:05:10 +0000 2018,BBC Breaking News,"Alleged member of banned British far-right group National Action admits planning to murder Labour MP Rosie Cooper 

https://t.co/awefvWXOKw",-0.7579,0.309,0.602,0.088
Tue Jun 12 08:45:54 +0000 2018,BBC Breaking News,"#TrumpKimSummit: Donald Trump says US will be stopping ""very provocative"" war games with South Korea 

Live updates… https://t.co/rIaX4o1ASp",-0.6983,0.265,0.735,0.0
Tue Jun 12 08:35:42 +0000 2018,BBC Breaking News,"""Anyone can make war, but only the most courageous can make peace"" - US President Donald Trump on ""honest, direct""… https://t.co/yRqXcbjm5Q",0.8534,0.084,0.581,0.335
Tue Jun 12 05:51:30 +0000 2018,BBC Breaking News,"""The world will see a major change"" - Kim Jong-un's words as he and Donald Trump sign a ""historic"" document after… https://t.co/SXAubVew8R",0.0,0.0,1.0,0.0
Tue Jun 12 01:17:28 +0000 2018,BBC Breaking News,"When Trump met Kim. 

Clearer photos of that moment in history https://t.co/DNFStoMXjW

#trumpkimsummit 
#TrumpKim https://t.co/XIPiK6REju",0.0,0.0,1.0,0.0
Tue Jun 12 01:08:51 +0000 2018,BBC Breaking News,"The moment the world's been waiting for. 

US President @realDonaldTrump has met North Korea's Kim Jong-un… https://t.co/UxnQpdkjFR",0.0,0.0,1.0,0.0
Tue Jun 12 01:05:12 +0000 2018,BBC Breaking News,"Donald Trump has *just* met Kim Jong-un https://t.co/DNFStoMXjW

#TrumpKimSummit
#TrumpKim",0.0,0.0,1.0,0.0
Tue Jun 12 00:17:12 +0000 2018,BBC Breaking News,@realDonaldTrump North Korean leader Kim Jong-un has just left his Singapore hotel and joins @realDonaldTrump on hi… https://t.co/IsYrBFaoIG,0.0,0.0,1.0,0.0
Tue Jun 12 00:07:23 +0000 2018,BBC Breaking News,.@realDonaldTrump has just left his hotel and is now on his way to Singapore's Sentosa island for #TrumpKimSummit.… https://t.co/csIy3wVTr4,0.0,0.0,1.0,0.0
Mon Jun 11 22:56:59 +0000 2018,BBC Breaking News,"Today's the day: @realDonaldTrump meets North Korea's Kim Jong-un https://t.co/BWqAUTLCwN

#TrumpKim 

Follow our l… https://t.co/i4JqApSidg",0.0,0.0,1.0,0.0
Mon Jun 11 13:06:17 +0000 2018,BBC Breaking News,Polish man sentenced to 16 years and nine months in jail after he was found guilty of kidnapping British model Chlo… https://t.co/KYP8cY2CKl,-0.4404,0.163,0.837,0.0
Mon Jun 11 12:43:29 +0000 2018,BBC Breaking News,"Spain says it will accept rescue ship with hundreds of migrants aboard, at the centre of an international row https://t.co/CH5KOVN4Cy",0.7184,0.0,0.708,0.292
Mon Jun 11 08:07:28 +0000 2018,BBC Breaking News,"Discount retailer Poundworld expected to appoint administrators, putting 5,100 jobs at risk https://t.co/RjQB4jNRCS",-0.2732,0.149,0.851,0.0
Sun Jun 10 21:50:39 +0000 2018,BBC Breaking News,"Two men have died in a light aircraft crash at Raglan, in Monmouthshire, police say https://t.co/UXaTQYkvqg",-0.743,0.326,0.674,0.0
Sun Jun 10 15:58:08 +0000 2018,BBC Breaking News,"RT @BBCSport: 🐐 🎾 🐐 🎾 🐐 🎾

Rafael Nadal has won the French Open AGAIN.

Reaction 👇
https://t.co/71kAdwLqQY
📻@5livesport
#bbctennis #RG18 ht…",0.5719,0.0,0.802,0.198
Sun Jun 10 07:22:50 +0000 2018,BBC Breaking News,North Korea's Kim Jong-un arrives in Singapore two days before historic summit with US President Trump https://t.co/rxmBbED5y7,0.0,0.0,1.0,0.0
Sat Jun 09 23:52:23 +0000 2018,BBC Breaking News,The G7 summit ends in disarray after US President Donald Trump retracts his endorsement of a joint final statement. https://t.co/Hu0v1JWDc6,0.3182,0.0,0.887,0.113
Fri Jun 08 21:32:33 +0000 2018,BBC Breaking News,"Actress Emma Thompson becomes a dame, with Liverpool legend Kenny Dalglish knighted in Queen's Birthday Honours… https://t.co/4R9Ij9tjlc",0.0,0.0,1.0,0.0
Fri Jun 08 19:58:46 +0000 2018,BBC Breaking News,"American special forces soldier killed in firefight with jihadist militants in Somalia, US military officials say https://t.co/i428JIXQZp",-0.4215,0.203,0.676,0.122
Fri Jun 08 18:35:39 +0000 2018,BBC Breaking News,"World leaders assemble for 'family photo' at G7 summit in Canada 

https://t.co/9TJ4sS5Kev https://t.co/ZWUrmO3cV5",0.0,0.0,1.0,0.0
Fri Jun 08 16:57:32 +0000 2018,BBC Breaking News,"Man charged with manslaughter of 100-year-old woman, who died after her neck was broken in bag theft https://t.co/DJ3TaRf5HB",-0.8176,0.362,0.638,0.0
